time,ax,ay,az,aT
0.005000,0.2162,0.0117,-0.3861,0.443
0.005000,-0.0381,-0.0156,0.1197,0.127
0.005000,-0.0217,-0.0356,0.1662,0.171
0.005000,0.1081,-0.0046,-0.1030,0.149
0.006000,0.0030,-0.0077,-0.0371,0.038
0.006000,-0.0054,-0.0454,0.1530,0.160
0.006000,0.0180,-0.0511,-0.0323,0.063
0.006000,0.0468,-0.0270,0.0135,0.056
0.010000,0.0039,0.0255,0.1082,0.111
0.014000,0.0102,-0.0025,0.0130,0.017
0.033000,0.0783,0.0154,-0.0045,0.080
0.033000,0.0200,-0.0085,0.0309,0.038
0.033000,0.0601,-0.0249,-0.0039,0.065
0.034000,0.0402,0.0041,0.0291,0.050
0.040000,0.0142,-0.0317,0.0473,0.059
0.044000,0.0226,-0.0270,0.0513,0.062
0.054000,0.0135,0.0212,0.0418,0.049
0.055000,-0.0208,0.0133,-0.0042,0.025
0.062000,0.0478,-0.0477,0.0190,0.070
0.066000,0.0134,-0.0278,0.0798,0.086
0.069000,-0.0144,-0.0288,-0.0031,0.032
0.076000,0.0214,0.0141,0.0938,0.097
0.085000,0.0290,0.0025,0.0519,0.060
0.087000,-0.0051,0.0080,0.0131,0.016
0.090000,0.0371,0.0104,0.0601,0.071
0.097000,0.0099,-0.0093,0.0673,0.069
0.102000,-0.0114,0.0002,0.0277,0.030
0.104000,-0.0270,-0.0163,0.0087,0.033
0.116000,-0.0051,-0.0036,0.0185,0.020
0.117000,-0.0073,-0.0220,0.0369,0.044
0.121000,0.0316,0.0123,0.0003,0.034
0.124000,0.0281,-0.0247,0.0463,0.060
0.131000,0.0191,-0.0230,0.0710,0.077
0.136000,-0.0041,-0.0290,0.0218,0.037
0.148000,0.0006,-0.0141,-0.0029,0.014
0.148000,0.0199,-0.0218,0.0170,0.034
0.151000,0.0566,0.0051,0.0440,0.072
0.161000,0.0362,0.0329,0.0218,0.054
0.162000,0.0071,0.0054,0.0282,0.030
0.164000,0.0209,-0.0390,0.0895,0.100
0.176000,0.0126,-0.0329,0.0374,0.051
0.177000,0.0333,-0.0401,0.0085,0.053
0.179000,0.0072,-0.0357,0.0509,0.063
0.185000,-0.0086,-0.0107,0.0337,0.036
0.189000,0.0039,-0.0138,-0.0238,0.028
0.196000,0.0135,-0.0158,0.0465,0.051
0.204000,0.0356,-0.0126,0.0615,0.072
0.205000,0.0159,-0.0003,-0.0042,0.016
0.209000,0.0116,-0.0099,0.0040,0.016
0.215000,-0.0006,-0.0330,0.0367,0.049
0.220000,-0.0020,-0.0296,0.0379,0.048
0.225000,0.0106,-0.0056,0.0356,0.038
0.228000,0.0309,0.0048,0.0737,0.080
0.237000,0.0306,-0.0074,0.0687,0.076
0.241000,0.0598,-0.0146,0.0613,0.087
0.245000,0.0259,-0.0320,0.0569,0.070
0.249000,-0.0017,-0.0152,0.0259,0.030
0.256000,0.0050,0.0061,0.0309,0.032
0.260000,0.0078,0.0046,0.0536,0.054
0.271000,-0.0093,-0.0234,0.0229,0.034
0.272000,-0.0020,-0.0043,0.0344,0.035
0.274000,0.0344,0.0001,0.0568,0.066
